iter	Logloss
0	0.6523181135
1	0.6080581709
2	0.568203621
3	0.5407064916
4	0.5068372567
5	0.486685981
6	0.4709226405
7	0.4567253706
8	0.4408863079
9	0.4276210114
10	0.4164726851
11	0.4055097508
12	0.3969392804
13	0.3895127354
14	0.3811089683
15	0.3742387755
16	0.3688819731
17	0.3637906385
18	0.3581335634
19	0.3537746287
20	0.3489926033
21	0.3446966166
22	0.3413305585
23	0.3377621785
24	0.3348372402
25	0.3321540459
26	0.3291681603
27	0.3264853178
28	0.3241305392
29	0.3218013972
30	0.3206458628
31	0.3188892112
32	0.3173323969
33	0.3155290015
34	0.3136352187
35	0.3119424825
36	0.3103927041
37	0.3091342717
38	0.3078323496
39	0.306793081
40	0.305736047
41	0.3047132465
42	0.3035242702
43	0.3023199032
44	0.3012387059
45	0.3003393168
46	0.2995353941
47	0.2987219731
48	0.2979112565
49	0.2970914813
50	0.2965181554
51	0.295892633
52	0.2952350979
53	0.2945404053
54	0.2940957457
55	0.2935871927
56	0.2930193634
57	0.2924743564
58	0.2920502984
59	0.2915177799
60	0.2911786566
61	0.2907845225
62	0.2903630149
63	0.2899966721
64	0.2899618011
65	0.2896989938
66	0.2893339042
67	0.2889220928
68	0.2888891566
69	0.2885129637
70	0.2880936329
71	0.2877304121
72	0.2873908051
73	0.2871018555
74	0.2867263442
75	0.2865371924
76	0.2865070486
77	0.2864787077
78	0.2864522137
79	0.2864271268
80	0.2862249809
81	0.2859560392
82	0.2857369195
83	0.2857082928
84	0.2856834917
85	0.2854297869
86	0.2851656163
87	0.2851431239
88	0.2848752816
89	0.2846123643
