iter	Passed	Remaining
0	0	45
1	1	47
2	1	42
3	1	38
4	2	38
5	2	39
6	3	40
7	3	38
8	4	37
9	4	36
10	4	35
11	5	38
12	6	37
13	6	36
14	7	35
15	7	35
16	8	34
17	8	33
18	8	32
19	9	31
20	9	31
21	9	30
22	10	29
23	10	29
24	10	28
25	11	28
26	11	27
27	12	26
28	12	26
29	12	25
30	13	25
31	13	24
32	13	24
33	14	23
34	14	22
35	14	22
36	15	21
37	15	21
38	15	20
39	16	20
40	16	19
41	16	19
42	17	18
43	17	18
44	17	17
45	18	17
46	18	17
47	19	16
48	19	16
49	20	16
50	20	15
51	21	15
52	21	15
53	22	14
54	22	14
55	22	13
56	23	13
57	23	12
58	23	12
59	24	12
60	24	11
61	24	11
62	25	10
63	25	10
64	25	9
65	25	9
66	26	9
67	26	8
68	27	8
69	27	7
70	28	7
71	28	7
72	28	6
73	28	6
74	29	5
75	29	5
76	29	5
77	30	4
78	30	4
79	31	3
80	31	3
81	31	3
82	32	2
83	33	2
84	33	1
85	33	1
86	34	1
87	34	0
88	34	0
89	34	0
